date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status,telegram,resultado,profit
15 Jul 2025 04:00,LCKC,Dplus KIA Challengers,OKSavingsBank BRION Challengers,under,total_kills 35.5,41.83%,1.29,1.83,BET365,url não disponível,pending,1,0,0.0
15 Jul 2025 06:00,LCKC,BNK FEARX Youth,T1 Esports Academy,under,total_kills 33.5,18.95%,1.54,1.83,BET365,url não disponível,pending,1,0,0.0
19 Jul 2025 07:00,VCS,Saigon Dino,Never Give Up,over,total_kills 33.5,26.58%,1.45,1.83,BET365,url não disponível,loss,1,1,-1.0
1 Jul 2025 21:00,LCK,Gen.G,G2 Esports,over,total_barons 1.5,37.50%,3.64,5.0,BET365,url não disponível,loss,1,1,-1.0
1 Jul 2025 21:00,LCK,Gen.G,G2 Esports,over,total_dragons 4.5,26.00%,1.67,2.1,BET365,url não disponível,win,1,1,1.1
3 Jul 2025 16:00,LCP,CTBC Flying Oyster,T1,under,total_inhibitors 1.5,18.95%,1.54,1.83,BET365,url não disponível,loss,1,1,-1.0
3 Jul 2025 16:00,LCP,CTBC Flying Oyster,T1,over,total_dragons 4.5,12.50%,2.0,2.25,BET365,url não disponível,win,1,1,1.25
3 Jul 2025 21:00,LEC,Movistar KOI,Bilibili Gaming,over,total_dragons 4.5,24.43%,1.9,2.37,BET365,url não disponível,win,1,1,1.37
3 Jul 2025 21:00,LEC,Movistar KOI,Bilibili Gaming,over,total_barons 1.5,12.50%,4.0,4.5,BET365,url não disponível,loss,1,1,-1.0
4 Jul 2025 21:00,LCK,Gen.G,Anyone's Legend,under,total_towers 12.5,27.11%,1.18,1.5,BET365,url não disponível,win,1,1,0.5
4 Jul 2025 21:00,LCK,Gen.G,Anyone's Legend,under,total_inhibitors 1.5,22.56%,1.49,1.83,BET365,url não disponível,win,1,1,0.83
8 Jul 2025 21:00,LPL,Bilibili Gaming,FlyQuest,over,total_barons 1.5,22.50%,2.86,3.5,BET365,url não disponível,loss,1,1,-1.0
9 Jul 2025 21:00,LCK,Gen.G,T1,under,total_inhibitors 1.5,24.70%,1.38,1.72,BET365,url não disponível,win,1,1,0.72
9 Jul 2025 21:00,LCK,Gen.G,T1,under,total_towers 12.5,22.40%,1.18,1.44,BET365,url não disponível,win,1,1,0.44
14 Jul 2025 14:00,LIT,Zena Esports,GMBLERS Esports,over,total_kills 27.5,38.78%,1.32,1.83,BET365,url não disponível,win,1,1,0.83
14 Jul 2025 15:00,LIT,Axolotl,Colossal Gaming,over,total_kills 28.5,23.76%,1.48,1.83,BET365,url não disponível,pending,1,0,0.0
15 Jul 2025 13:00,LIT,Axolotl,GMBLERS Esports,over,total_kills 28.5,14.38%,1.6,1.83,BET365,url não disponível,pending,1,0,0.0
15 Jul 2025 14:00,NLC,Lundqvist Lightside,DMG Esports,under,total_kills 34.5,15.90%,1.58,1.83,BET365,url não disponível,win,1,1,0.83
15 Jul 2025 14:00,NLC,Lundqvist Lightside,DMG Esports,under,total_dragons 4.5,13.33%,1.76,2.0,BET365,url não disponível,win,1,1,1.0
15 Jul 2025 14:00,ROL,A One Man Army,Aurora,over,total_kills 33.5,19.23%,1.53,1.83,BET365,url não disponível,loss,1,1,-1.0
15 Jul 2025 15:00,NLC,Verdant,Bulldog Esports,under,total_barons 1.5,16.25%,1.29,1.5,BET365,url não disponível,loss,1,1,-1.0
15 Jul 2025 15:00,NLC,Verdant,Bulldog Esports,under,total_kills 31.5,12.09%,1.63,1.83,BET365,url não disponível,loss,1,1,-1.0
15 Jul 2025 16:00,NLC,Lundqvist Lightside,Los Ratones,under,total_kills 34.5,12.85%,1.62,1.83,BET365,url não disponível,win,1,1,0.83
15 Jul 2025 17:00,NLC,Verdant,DMG Esports,under,game_duration 31.5,18.95%,1.54,1.83,BET365,url não disponível,win,1,1,0.83
16 Jul 2025 08:00,LCP,CTBC Flying Oyster,Hanwha Life Esports,over,total_dragons 4.5,20.00%,1.67,2.0,BET365,url não disponível,pending,1,0,0.0
16 Jul 2025 08:00,LCP,CTBC Flying Oyster,Hanwha Life Esports,over,game_duration 31.5,14.38%,1.6,1.83,BET365,url não disponível,pending,1,0,0.0
16 Jul 2025 09:00,LEC,Movistar KOI,GAM Esports,over,total_dragons 4.5,12.05%,1.48,1.66,BET365,url não disponível,pending,1,0,0.0
16 Jul 2025 13:00,NLC,The Ruddy Sack,Rich Gang,over,total_inhibitors 1.5,29.96%,1.32,1.72,BET365,url não disponível,loss,1,1,-1.0
16 Jul 2025 13:00,NLC,The Ruddy Sack,Rich Gang,under,total_dragons 4.5,14.89%,1.91,2.2,BET365,url não disponível,win,1,1,1.2
16 Jul 2025 15:00,NLC,NORD Esports,The Ruddy Sack,over,total_barons 1.5,48.41%,2.29,3.4,BET365,url não disponível,loss,1,1,-1.0
16 Jul 2025 15:00,NLC,NORD Esports,The Ruddy Sack,over,total_inhibitors 1.5,27.86%,1.41,1.8,BET365,url não disponível,loss,1,1,-1.0
19 Jul 2025 06:00,LPL,Weibo Gaming,FunPlus Phoenix,under,total_kills 30.5,18.95%,1.54,1.83,BET365,url não disponível,win,1,1,0.83
20 Jul 2025 08:00,LPL,Weibo Gaming,Top Esports,under,game_duration 32.5,33.00%,1.43,1.9,BET365,url não disponível,loss,1,0,0.0
20 Jul 2025 08:00,LPL,Weibo Gaming,Top Esports,under,total_barons 1.5,15.20%,1.11,1.28,BET365,url não disponível,loss,1,0,0.0
15 Jul 2025 15:00,LIT,Zena Esports,aNc Legends,over,total_kills 29.5,42.87%,1.28,1.83,BET365,url não disponível,win,1,1,0.83
15 Jul 2025 15:00,PRM,Eintracht Frankfurt,Eintracht Spandau,under,game_duration 33.5,28.10%,1.43,1.83,BET365,url não disponível,loss,1,1,-1.0
15 Jul 2025 17:00,LVP SL,UCAM Esports,Veni Vidi Vici,under,total_dragons 4.5,37.81%,1.63,2.25,BET365,url não disponível,loss,1,1,-1.0
15 Jul 2025 17:00,LVP SL,UCAM Esports,Veni Vidi Vici,under,game_duration 33.5,36.49%,1.34,1.83,BET365,url não disponível,loss,1,1,-1.0
16 Jul 2025 13:00,LVP SL,Guasones,ZETA,under,total_dragons 4.5,83.33%,1.2,2.2,BET365,url não disponível,loss,1,1,-1.0
16 Jul 2025 13:00,LVP SL,Guasones,ZETA,under,game_duration 33.5,60.13%,1.14,1.83,BET365,url não disponível,loss,1,1,-1.0
16 Jul 2025 13:00,PRM,Austrian Force willhaben,E WIE EINFACH E-SPORTS,under,game_duration 33.5,30.06%,1.41,1.83,BET365,url não disponível,loss,1,1,-1.0
16 Jul 2025 13:00,PRM,Austrian Force willhaben,E WIE EINFACH E-SPORTS,under,total_kills 33.5,27.45%,1.44,1.83,BET365,url não disponível,loss,1,1,-1.0
16 Jul 2025 14:00,LVP SL,LUA Gaming,Ramboot Club,under,total_dragons 4.5,17.54%,2.13,2.5,BET365,url não disponível,win,1,1,1.5
16 Jul 2025 14:00,LVP SL,LUA Gaming,Ramboot Club,under,total_barons 1.5,15.45%,1.25,1.44,BET365,url não disponível,win,1,1,0.44
16 Jul 2025 15:00,LVP SL,UCAM Esports,GiantX,over,total_inhibitors 1.5,20.11%,1.83,2.2,BET365,url não disponível,win,1,1,1.2
16 Jul 2025 17:00,LVP SL,Los Heretics,Veni Vidi Vici,over,total_kills 25.5,26.58%,1.45,1.83,BET365,url não disponível,loss,1,1,-1.0
16 Jul 2025 17:00,LVP SL,Los Heretics,Veni Vidi Vici,under,total_dragons 4.5,18.50%,2.0,2.37,BET365,url não disponível,win,1,1,1.37
17 Jul 2025 21:00,NACL,Dorado Gaming,Supernova,over,total_kills 29.5,12.85%,1.62,1.83,BET365,url não disponível,loss,1,1,-1.0
18 Jul 2025 22:00,NACL,Supernova,CCG Esports,over,total_kills 29.5,10.16%,1.66,1.83,BET365,url não disponível,loss,1,1,-1.0
19 Jul 2025 08:00,LPL,Top Esports,Invictus Gaming,under,game_duration 33.5,37.25%,1.33,1.83,BET365,url não disponível,win,1,0,0.0
19 Jul 2025 08:00,LPL,Top Esports,Invictus Gaming,under,total_dragons 4.5,20.00%,1.67,2.0,BET365,url não disponível,win,1,0,0.0
20 Jul 2025 06:00,LPL,EDward Gaming,ThunderTalk Gaming,under,total_inhibitors 1.5,16.34%,1.57,1.83,BET365,url não disponível,loss,1,0,0.0
20 Jul 2025 06:00,LPL,EDward Gaming,ThunderTalk Gaming,under,total_towers 12.5,11.96%,1.34,1.5,BET365,url não disponível,loss,1,0,0.0
27 Jul 2025 17:00,LTA N,Team Liquid,100 Thieves,under,total_towers 12.5,28.82%,1.55,2.0,BET365,url não disponível,pending,1,0,0.0
27 Jul 2025 17:00,LTA N,Team Liquid,100 Thieves,under,total_dragons 4.5,28.68%,1.94,2.5,BET365,url não disponível,pending,1,0,0.0
27 Jul 2025 20:00,LTA N,Shopify Rebellion,Dignitas,under,game_duration 35.5,17.70%,1.55,1.83,BET365,url não disponível,pending,1,0,0.0
27 Jul 2025 20:00,LTA N,Shopify Rebellion,Dignitas,under,total_barons 1.5,12.91%,1.28,1.44,BET365,url não disponível,pending,1,0,0.0
17 Jul 2025 16:00,LVP SL,Los Heretics,GiantX,under,game_duration 33.5,23.79%,1.48,1.83,BET365,url não disponível,win,1,1,0.83
17 Jul 2025 16:00,LVP SL,Los Heretics,GiantX,under,total_towers 12.5,17.35%,1.62,1.9,BET365,url não disponível,win,1,1,0.9
17 Jul 2025 17:00,LVP SL,Veni Vidi Vici,Ramboot Club,under,total_inhibitors 1.5,43.18%,1.47,2.1,BET365,url não disponível,loss,1,1,-1.0
17 Jul 2025 17:00,LVP SL,Veni Vidi Vici,Ramboot Club,under,total_barons 1.5,20.91%,1.1,1.33,BET365,url não disponível,win,1,1,0.33
19 Jul 2025 10:00,HLL,Actions Per Minute,Team Paradox,under,total_kills 35.5,25.19%,1.46,1.83,BET365,url não disponível,win,1,0,0.0
19 Jul 2025 13:00,PRM,ROSSMANN Centaurs,Berlin International Gaming,over,total_dragons 4.5,23.89%,1.78,2.2,BET365,url não disponível,win,1,0,0.0
19 Jul 2025 13:00,PRM,ROSSMANN Centaurs,Berlin International Gaming,over,total_kills 33.5,16.78%,1.57,1.83,BET365,url não disponível,loss,1,0,0.0
19 Jul 2025 15:00,PRM,Eintracht Spandau,TeamOrangeGaming,over,total_kills 33.5,22.00%,1.5,1.83,BET365,url não disponível,win,1,0,0.0
19 Jul 2025 15:00,PRM,Eintracht Spandau,TeamOrangeGaming,over,total_towers 12.5,12.00%,1.88,2.1,BET365,url não disponível,loss,1,0,0.0
22 Jul 2025 10:00,HLL,Team Phantasma,Gamespace Mediterranean College Esports,under,total_kills 37.5,14.82%,1.59,1.83,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 14:00,NLC,Verdant,Lundqvist Lightside,over,total_inhibitors 1.5,21.62%,1.41,1.72,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 14:00,NLC,Verdant,Lundqvist Lightside,over,total_barons 1.5,21.21%,3.3,4.0,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 15:00,NLC,DMG Esports,Bulldog Esports,under,total_kills 33.5,32.05%,1.39,1.83,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 15:00,NLC,DMG Esports,Bulldog Esports,under,game_duration 32.5,12.30%,1.63,1.83,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 13:00,NLC,Venomcrest Esports,Rich Gang,under,total_dragons 4.5,34.17%,1.2,1.61,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 13:00,NLC,Venomcrest Esports,Rich Gang,under,total_kills 33.5,32.17%,1.38,1.83,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 14:00,LIT,aNc Legends,Colossal Gaming,over,total_kills 27.5,35.17%,1.35,1.83,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 16:00,NLC,NORD Esports,Rich Gang,under,total_kills 31.5,22.00%,1.5,1.83,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 16:00,NLC,NORD Esports,Rich Gang,over,total_towers 11.5,21.83%,1.41,1.72,BET365,url não disponível,pending,1,0,0.0
25 Jul 2025 13:00,LIT,Zena Esports,Colossal Gaming,over,total_kills 28.5,55.55%,1.18,1.83,BET365,url não disponível,pending,1,0,0.0
25 Jul 2025 15:00,LIT,aNc Legends,GMBLERS Esports,over,total_kills 27.5,33.09%,1.38,1.83,BET365,url não disponível,pending,1,0,0.0
19 Jul 2025 13:00,HW,Nightbirds,EXILE esports,under,total_kills 34.5,22.38%,1.5,1.83,BET365,url não disponível,pending,1,0,0.0
19 Jul 2025 15:00,AL,Dragons Esports,Fox Gaming,over,total_kills 35.5,14.38%,1.6,1.83,BET365,url não disponível,win,1,0,0.0
21 Jul 2025 05:00,LCKC,Dplus KIA Challengers,Nongshim Esports Academy,over,total_barons 1.5,15.78%,2.81,3.25,BET365,url não disponível,pending,1,0,0.0
21 Jul 2025 05:00,LCKC,Dplus KIA Challengers,Nongshim Esports Academy,under,total_inhibitors 1.5,11.38%,1.98,2.2,BET365,url não disponível,pending,1,0,0.0
21 Jul 2025 06:00,LPL,Ultra Prime,ThunderTalk Gaming,under,total_towers 12.5,29.76%,1.18,1.53,BET365,url não disponível,pending,1,0,0.0
21 Jul 2025 06:00,LPL,Ultra Prime,ThunderTalk Gaming,under,total_kills 27.5,18.25%,1.55,1.83,BET365,url não disponível,pending,1,0,0.0
21 Jul 2025 07:00,LCKC,DRX Challengers,KT Rolster Challengers,under,game_duration 32.5,31.15%,1.4,1.83,BET365,url não disponível,pending,1,0,0.0
21 Jul 2025 07:00,LCKC,DRX Challengers,KT Rolster Challengers,under,total_towers 11.5,25.08%,1.89,2.37,BET365,url não disponível,pending,1,0,0.0
21 Jul 2025 08:00,LPL,LNG Esports,Ninjas in Pyjamas,under,total_towers 12.5,19.70%,1.28,1.53,BET365,url não disponível,pending,1,0,0.0
21 Jul 2025 08:00,LPL,LNG Esports,Ninjas in Pyjamas,under,total_inhibitors 1.5,13.30%,1.62,1.83,BET365,url não disponível,pending,1,0,0.0
21 Jul 2025 17:00,CD,RED Academy,Vivo Keyd Stars Academy,over,total_kills 29.5,27.72%,1.43,1.83,BET365,url não disponível,pending,1,0,0.0
21 Jul 2025 20:00,CD,Corinthians Esports,Los Grandes,under,total_kills 27.5,14.38%,1.6,1.83,BET365,url não disponível,pending,1,0,0.0
22 Jul 2025 05:00,LCKC,Hanwha Life Esports Challengers,OKSavingsBank BRION Challengers,over,total_kills 28.5,19.06%,1.54,1.83,BET365,url não disponível,pending,1,0,0.0
22 Jul 2025 07:00,LCKC,BNK FEARX Youth,Gen.G Global Academy,over,total_kills 30.5,21.10%,1.51,1.83,BET365,url não disponível,pending,1,0,0.0
22 Jul 2025 07:00,LCKC,BNK FEARX Youth,Gen.G Global Academy,under,total_dragons 4.5,14.95%,1.83,2.1,BET365,url não disponível,pending,1,0,0.0
22 Jul 2025 13:00,LVP SL,Ramboot Club,GiantX,under,total_towers 12.5,43.14%,1.4,2.0,BET365,url não disponível,pending,1,0,0.0
22 Jul 2025 13:00,LVP SL,Ramboot Club,GiantX,under,total_kills 32.5,28.73%,1.42,1.83,BET365,url não disponível,pending,1,0,0.0
22 Jul 2025 14:00,LVP SL,UCAM Esports,ZETA,under,total_dragons 4.5,32.56%,1.66,2.2,BET365,url não disponível,pending,1,0,0.0
22 Jul 2025 14:00,LVP SL,UCAM Esports,ZETA,over,total_barons 1.5,15.62%,2.81,3.25,BET365,url não disponível,pending,1,0,0.0
22 Jul 2025 17:00,CD,Corinthians Esports,Stellae Gaming,under,total_kills 27.5,15.90%,1.58,1.83,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 02:00,LCKC,Nongshim Esports Academy,DN Freecs Challengers,over,total_barons 1.5,23.91%,2.62,3.25,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 02:00,LCKC,Nongshim Esports Academy,DN Freecs Challengers,under,total_inhibitors 1.5,16.88%,1.88,2.2,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 06:00,LPL,FunPlus Phoenix,Top Esports,under,total_kills 31.5,24.87%,1.47,1.83,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 06:00,LPL,FunPlus Phoenix,Top Esports,under,total_inhibitors 1.5,14.11%,1.6,1.83,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 12:00,RL,Orbit Anonymo Esports,DOCISK,over,total_kills 33.5,10.16%,1.66,1.83,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 13:00,LVP SL,Veni Vidi Vici,Guasones,under,total_inhibitors 1.5,22.50%,1.71,2.1,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 13:00,LVP SL,Veni Vidi Vici,Guasones,under,total_barons 1.5,14.58%,1.09,1.25,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 16:00,NLC,Verdant,Los Ratones,under,total_kills 32.5,11.33%,1.64,1.83,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 16:00,LVP SL,ZETA,Los Heretics,over,total_towers 12.5,35.42%,1.85,2.5,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 16:00,LVP SL,ZETA,Los Heretics,under,total_inhibitors 1.5,13.75%,1.85,2.1,BET365,url não disponível,pending,1,0,0.0
23 Jul 2025 17:00,LVP SL,Barça eSports,UCAM Esports,under,total_dragons 4.5,19.73%,1.84,2.2,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 02:00,LCKC,Dplus KIA Challengers,OKSavingsBank BRION Challengers,over,total_kills 28.5,34.71%,1.36,1.83,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 02:00,LCKC,Dplus KIA Challengers,OKSavingsBank BRION Challengers,over,total_dragons 4.5,13.43%,1.46,1.66,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 08:00,LPL,ThunderTalk Gaming,LNG Esports,under,total_towers 12.5,26.75%,1.24,1.57,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 08:00,LPL,ThunderTalk Gaming,LNG Esports,under,total_kills 27.5,19.49%,1.53,1.83,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 11:30,TCL,Misa Esports,Beşiktaş Esports,under,total_inhibitors 1.5,39.23%,1.58,2.2,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 11:30,TCL,Misa Esports,Beşiktaş Esports,under,total_towers 12.5,33.98%,1.2,1.61,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 13:00,LVP SL,Guasones,UCAM Esports,under,total_dragons 4.5,23.40%,1.78,2.2,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 13:30,TCL,BoostGate Esports,The Forbidden Five,over,total_barons 1.5,26.67%,3.16,4.0,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 13:30,TCL,BoostGate Esports,The Forbidden Five,over,total_inhibitors 1.5,23.43%,1.3,1.61,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 14:00,LVP SL,Los Heretics,Barça eSports,under,total_inhibitors 1.5,22.50%,1.71,2.1,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 14:00,LVP SL,Los Heretics,Barça eSports,under,total_kills 32.5,16.92%,1.57,1.83,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 14:30,TCL,Bushido Wildcats,Papara SuperMassive,under,total_dragons 4.5,38.32%,1.52,2.1,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 15:00,LVP SL,Ramboot Club,ZETA,under,total_inhibitors 1.5,13.75%,1.85,2.1,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 17:00,LVP SL,Veni Vidi Vici,GiantX,under,total_kills 32.5,28.73%,1.42,1.83,BET365,url não disponível,pending,1,0,0.0
24 Jul 2025 17:00,LVP SL,Veni Vidi Vici,GiantX,under,total_towers 12.5,26.47%,1.58,2.0,BET365,url não disponível,pending,1,0,0.0
25 Jul 2025 11:30,TCL,The Forbidden Five,Beşiktaş Esports,over,total_barons 1.5,27.93%,3.38,4.33,BET365,url não disponível,pending,1,0,0.0
25 Jul 2025 11:30,TCL,The Forbidden Five,Beşiktaş Esports,under,total_kills 29.5,12.30%,1.63,1.83,BET365,url não disponível,pending,1,0,0.0
25 Jul 2025 12:00,RL,Forsaken,DOCISK,over,total_dragons 4.5,33.00%,1.58,2.1,BET365,url não disponível,pending,1,0,0.0
25 Jul 2025 12:00,RL,Forsaken,DOCISK,over,total_kills 32.5,17.42%,1.56,1.83,BET365,url não disponível,pending,1,0,0.0
25 Jul 2025 13:30,TCL,ULF Esports,BoostGate Esports,under,game_duration 31.5,28.10%,1.43,1.83,BET365,url não disponível,pending,1,0,0.0
25 Jul 2025 13:30,TCL,ULF Esports,BoostGate Esports,over,total_towers 12.5,25.00%,2.0,2.5,BET365,url não disponível,pending,1,0,0.0
25 Jul 2025 14:30,TCL,Misa Esports,Bushido Wildcats,under,total_dragons 4.5,31.54%,1.44,1.9,BET365,url não disponível,pending,1,0,0.0
25 Jul 2025 14:30,TCL,Misa Esports,Bushido Wildcats,under,game_duration 33.5,26.69%,1.44,1.83,BET365,url não disponível,pending,1,0,0.0
25 Jul 2025 15:00,RL,Orbit Anonymo Esports,Back2TheGame,under,total_inhibitors 1.5,10.18%,2.04,2.25,BET365,url não disponível,pending,1,0,0.0
27 Jul 2025 02:00,LCKC,T1 Esports Academy,DRX Challengers,under,total_towers 11.5,28.96%,1.84,2.37,BET365,url não disponível,pending,1,0,0.0
27 Jul 2025 02:00,LCKC,T1 Esports Academy,DRX Challengers,under,total_dragons 4.5,19.51%,1.76,2.1,BET365,url não disponível,pending,1,0,0.0
